target,split_mode,fold_id,model,feature_mode,n_train,n_test,accuracy,macro_f1,weighted_f1,pr_auc,roc_auc
label_sensitive_binary,random,random_fold_1,dtree,both,1600000,400000,0.84304,0.6100391268792349,0.8784552404757674,0.22699249992658058,0.8163279934520236
label_sensitive_binary,random,random_fold_1,hist_gbm,both,1600000,400000,0.945235,0.48592329461478945,0.918623410770421,0.22856353660573084,0.8162270245709755
label_sensitive_binary,state,state_fold_1,dtree,both,1587442,412558,0.851082756848734,0.6133507435322583,0.8845485328974114,0.2242785643919724,0.8149020066120394
label_sensitive_binary,state,state_fold_2,dtree,both,1619926,380074,0.8448723143387866,0.616325580716459,0.8781404638900728,0.24766265278541832,0.8179123750257283
label_sensitive_binary,state,state_fold_3,dtree,both,1584783,415217,0.8437563972573378,0.6094919052616605,0.8802052942840222,0.2342576712246909,0.8237283966127213
label_sensitive_binary,state,state_fold_4,dtree,both,1601347,398653,0.8406383496424209,0.6090479280066412,0.8767385190733902,0.2148880625270652,0.8149623120248138
label_sensitive_binary,state,state_fold_5,dtree,both,1606502,393498,0.8437222044330593,0.6132997125313511,0.8784785256022426,0.22230241555481967,0.8178338906590995
label_sensitive_binary,state,state_fold_1,hist_gbm,both,1587442,412558,0.9472534770868581,0.4864561744185323,0.9215946053366517,0.22607911542097717,0.815633785045146
label_sensitive_binary,state,state_fold_2,hist_gbm,both,1619926,380074,0.9420744381357314,0.48508667826350843,0.9139755197444461,0.249481318404891,0.8180377821527096
label_sensitive_binary,state,state_fold_3,hist_gbm,both,1584783,415217,0.9475190081330966,0.4865261926461986,0.921985630973796,0.23594344284212554,0.8233540179409096
label_sensitive_binary,state,state_fold_4,hist_gbm,both,1601347,398653,0.944791585664726,0.4869384934579776,0.918118725794617,0.21663473841114086,0.8146484820176592
label_sensitive_binary,state,state_fold_5,hist_gbm,both,1606502,393498,0.9441801483107919,0.48564437258098037,0.917071551459623,0.22213147723877297,0.8178589152820883
