,precision,recall,f1-score,support
0,0.945,1.0,0.972,561396.0
1,0.0,0.0,0.0,32870.0
accuracy,0.945,0.945,0.945,0.945
macro avg,0.472,0.5,0.486,594266.0
weighted avg,0.892,0.945,0.918,594266.0
