,precision,recall,f1-score,support
0,0.946,1.0,0.972,567191.0
1,0.533,0.006,0.011,32809.0
accuracy,0.945,0.945,0.945,0.945
macro avg,0.739,0.503,0.492,600000.0
weighted avg,0.923,0.945,0.919,600000.0
