,precision,recall,f1-score,support
0,0.947,1.0,0.973,582699.0
1,0.0,0.0,0.0,32549.0
accuracy,0.947,0.947,0.947,0.947
macro avg,0.474,0.5,0.486,615248.0
weighted avg,0.897,0.947,0.921,615248.0
