,precision,recall,f1-score,support
0,0.947,1.0,0.973,581743.0
1,0.378,0.0,0.001,32545.0
accuracy,0.947,0.947,0.947,0.947
macro avg,0.663,0.5,0.487,614288.0
weighted avg,0.917,0.947,0.921,614288.0
