target,split_mode,fold_id,model,feature_mode,n_train,n_test,accuracy,macro_f1,weighted_f1,pr_auc,roc_auc
label_sensitive_binary,random,random_fold_1,dtree,both,6399999,1600000,0.841081875,0.6079687400655367,0.8772311840566958,0.24943660194546746,0.8118982184781259
label_sensitive_binary,state,state_fold_1,dtree,both,5000000,1623129,0.8415837558197777,0.6066010359374983,0.8780105327808815,0.2304560519579825,0.8118309946884315
label_sensitive_binary,state,state_fold_2,dtree,both,5000000,1574929,0.8618820276977566,0.6278352222513146,0.8899552987683292,0.24468631972910632,0.813211029541478
label_sensitive_binary,state,state_fold_3,dtree,both,5000000,1660626,0.8646739241707645,0.6247376594746704,0.8934884651510089,0.2193267786442306,0.792417539155202
label_sensitive_binary,state,state_fold_4,dtree,both,5000000,1585098,0.8603915972387827,0.6240221310116484,0.8892594807015842,0.20124105512897805,0.7777141003281227
label_sensitive_binary,state,state_fold_5,dtree,both,5000000,1556217,0.8439812699642788,0.6170248521353876,0.8785186762580552,0.22136773430236112,0.8199687361917593
label_target_main,random,random_fold_1,dtree,both,5637985,1409497,0.45778955187559817,0.29440814313060837,0.46683641478823157,,
label_target_main,state,state_fold_1,dtree,both,5000000,1324630,0.3614609362614466,0.2132321148766361,0.34819919510208186,,
label_target_main,state,state_fold_2,dtree,both,5000000,1370641,0.35207906373733167,0.23777409359763238,0.37024425940688077,,
label_target_main,state,state_fold_3,dtree,both,5000000,1529007,0.5163370736693815,0.21840434133550815,0.42688306393358194,,
label_target_main,state,state_fold_4,dtree,both,5000000,1458313,0.32886767106924236,0.21795697884155832,0.3430428570701222,,
label_target_main,state,state_fold_5,dtree,both,5000000,1364891,0.2827874167241194,0.19547355707079328,0.26211472866615015,,
