,precision,recall,f1-score,support
0,0.975,0.876,0.923,1486843.0
1,0.228,0.616,0.333,88086.0
accuracy,0.862,0.862,0.862,0.862
macro avg,0.601,0.746,0.628,1574929.0
weighted avg,0.933,0.862,0.89,1574929.0
