,precision,recall,f1-score,support
0,0.977,0.878,0.925,1573976.0
1,0.219,0.623,0.325,86650.0
accuracy,0.865,0.865,0.865,0.865
macro avg,0.598,0.751,0.625,1660626.0
weighted avg,0.937,0.865,0.893,1660626.0
