,precision,recall,f1-score,support
0,0.976,0.853,0.91,1512561.0
1,0.201,0.64,0.306,87439.0
accuracy,0.841,0.841,0.841,0.841
macro avg,0.588,0.746,0.608,1600000.0
weighted avg,0.934,0.841,0.877,1600000.0
