,precision,recall,f1-score,support
0,0.976,0.855,0.912,1468261.0
1,0.214,0.656,0.322,87956.0
accuracy,0.844,0.844,0.844,0.844
macro avg,0.595,0.756,0.617,1556217.0
weighted avg,0.933,0.844,0.879,1556217.0
