,precision,recall,f1-score,support
0,0.977,0.853,0.911,1536023.0
1,0.198,0.64,0.303,87106.0
accuracy,0.842,0.842,0.842,0.842
macro avg,0.587,0.747,0.607,1623129.0
weighted avg,0.935,0.842,0.878,1623129.0
