,precision,recall,f1-score,support
civic_service,0.234,0.242,0.238,99164.0
commercial_recreation,0.256,0.154,0.192,94054.0
other,0.039,0.371,0.07,8955.0
residential_place,0.187,0.137,0.158,235912.0
residential_street,0.605,0.48,0.536,696273.0
transport,0.185,0.314,0.233,236283.0
accuracy,0.352,0.352,0.352,0.352
macro avg,0.251,0.283,0.238,1370641.0
weighted avg,0.406,0.352,0.37,1370641.0
