,precision,recall,f1-score,support
0,0.978,0.854,0.912,393426.0
1,0.2,0.66,0.307,21791.0
accuracy,0.844,0.844,0.844,0.844
macro avg,0.589,0.757,0.609,415217.0
weighted avg,0.938,0.844,0.88,415217.0
