,precision,recall,f1-score,support
0,0.979,0.803,0.882,378094.0
1,0.171,0.697,0.274,21906.0
accuracy,0.798,0.798,0.798,0.798
macro avg,0.575,0.75,0.578,400000.0
weighted avg,0.934,0.798,0.849,400000.0
