,precision,recall,f1-score,support
civic_service,0.209,0.225,0.216,24945.0
commercial_recreation,0.112,0.388,0.174,27780.0
other,0.03,0.386,0.056,1902.0
residential_place,0.25,0.187,0.214,60844.0
residential_street,0.641,0.535,0.583,198368.0
transport,0.193,0.053,0.084,61083.0
accuracy,0.367,0.367,0.367,0.367
macro avg,0.239,0.295,0.221,374922.0
weighted avg,0.433,0.367,0.384,374922.0
