,precision,recall,f1-score,support
0,0.974,0.855,0.911,358058.0
1,0.212,0.634,0.318,22016.0
accuracy,0.843,0.843,0.843,0.843
macro avg,0.593,0.745,0.615,380074.0
weighted avg,0.93,0.843,0.877,380074.0
