,precision,recall,f1-score,support
0,0.975,0.866,0.917,378094.0
1,0.212,0.623,0.317,21906.0
accuracy,0.853,0.853,0.853,0.853
macro avg,0.594,0.745,0.617,400000.0
weighted avg,0.934,0.853,0.885,400000.0
