,precision,recall,f1-score,support
civic_service,0.291,0.459,0.356,24959.0
commercial_recreation,0.232,0.142,0.176,20919.0
other,0.015,0.043,0.022,2261.0
residential_place,0.303,0.008,0.016,59565.0
residential_street,0.563,0.914,0.697,173347.0
transport,0.211,0.001,0.002,60755.0
accuracy,0.507,0.507,0.507,0.507
macro avg,0.269,0.261,0.211,341806.0
weighted avg,0.411,0.507,0.393,341806.0
