,precision,recall,f1-score,support
0,0.976,0.855,0.912,376654.0
1,0.205,0.64,0.311,21999.0
accuracy,0.843,0.843,0.843,0.843
macro avg,0.591,0.748,0.611,398653.0
weighted avg,0.933,0.843,0.879,398653.0
