,precision,recall,f1-score,support
0,0.974,0.866,0.917,358058.0
1,0.221,0.619,0.326,22016.0
accuracy,0.852,0.852,0.852,0.852
macro avg,0.597,0.743,0.621,380074.0
weighted avg,0.93,0.852,0.882,380074.0
