,precision,recall,f1-score,support
0,0.986,0.646,0.781,371533.0
1,0.123,0.841,0.215,21965.0
accuracy,0.657,0.657,0.657,0.657
macro avg,0.554,0.744,0.498,393498.0
weighted avg,0.938,0.657,0.749,393498.0
