,precision,recall,f1-score,support
0,0.976,0.873,0.922,390797.0
1,0.214,0.621,0.318,21761.0
accuracy,0.859,0.859,0.859,0.859
macro avg,0.595,0.747,0.62,412558.0
weighted avg,0.936,0.859,0.89,412558.0
