,precision,recall,f1-score,support
0,0.975,0.864,0.917,371533.0
1,0.216,0.63,0.321,21965.0
accuracy,0.851,0.851,0.851,0.851
macro avg,0.595,0.747,0.619,393498.0
weighted avg,0.933,0.851,0.883,393498.0
