,precision,recall,f1-score,support
0,0.977,0.865,0.918,390797.0
1,0.208,0.633,0.313,21761.0
accuracy,0.853,0.853,0.853,0.853
macro avg,0.592,0.749,0.615,412558.0
weighted avg,0.936,0.853,0.886,412558.0
