,precision,recall,f1-score,support
0,0.978,0.863,0.917,393426.0
1,0.206,0.643,0.313,21791.0
accuracy,0.852,0.852,0.852,0.852
macro avg,0.592,0.753,0.615,415217.0
weighted avg,0.937,0.852,0.885,415217.0
