,precision,recall,f1-score,support
civic_service,0.248,0.241,0.245,27548.0
commercial_recreation,0.084,0.338,0.135,21588.0
other,0.031,0.484,0.058,1962.0
residential_place,0.17,0.109,0.133,69033.0
residential_street,0.599,0.514,0.553,185445.0
transport,0.177,0.043,0.069,55956.0
accuracy,0.332,0.332,0.332,0.332
macro avg,0.218,0.288,0.199,361532.0
weighted avg,0.391,0.332,0.347,361532.0
