,precision,recall,f1-score,support
2,0.634,0.839,0.722,448632.0
3,0.247,0.164,0.198,57956.0
4,0.293,0.021,0.039,149119.0
5,0.308,0.484,0.377,63906.0
6,0.504,0.443,0.472,156001.0
7,0.015,0.001,0.001,5205.0
accuracy,0.555,0.555,0.555,0.555
macro avg,0.334,0.325,0.301,880819.0
weighted avg,0.5,0.555,0.498,880819.0
