,precision,recall,f1-score,support
0,0.971,0.914,0.942,962098.0
1,0.256,0.523,0.344,54523.0
accuracy,0.893,0.893,0.893,0.893
macro avg,0.614,0.718,0.643,1016621.0
weighted avg,0.933,0.893,0.91,1016621.0
