,precision,recall,f1-score,support
2,0.667,0.644,0.656,448632.0
3,0.155,0.182,0.167,57956.0
4,0.208,0.115,0.148,149119.0
5,0.282,0.336,0.307,63906.0
6,0.458,0.461,0.46,156001.0
7,0.032,0.394,0.06,5205.0
accuracy,0.468,0.468,0.468,0.468
macro avg,0.3,0.356,0.299,880819.0
weighted avg,0.487,0.468,0.474,880819.0
