,precision,recall,f1-score,support
2,0.568,0.916,0.701,436233.0
3,0.254,0.134,0.175,49616.0
4,0.24,0.006,0.012,148558.0
5,0.309,0.485,0.378,65909.0
6,0.0,0.0,0.0,147974.0
7,0.014,0.044,0.022,5328.0
accuracy,0.515,0.515,0.515,0.515
macro avg,0.231,0.264,0.215,853618.0
weighted avg,0.371,0.515,0.4,853618.0
