,precision,recall,f1-score,support
2,0.6,0.297,0.398,436233.0
3,0.223,0.129,0.163,49616.0
4,0.189,0.281,0.226,148558.0
5,0.253,0.252,0.253,65909.0
6,0.196,0.339,0.248,147974.0
7,0.034,0.427,0.064,5328.0
accuracy,0.289,0.289,0.289,0.289
macro avg,0.249,0.287,0.225,853618.0
weighted avg,0.406,0.289,0.315,853618.0
