,precision,recall,f1-score,support
2,0.561,0.916,0.696,441927.0
3,0.214,0.204,0.209,55259.0
4,0.281,0.003,0.007,143135.0
5,0.307,0.535,0.39,65034.0
6,0.154,0.0,0.0,178083.0
7,0.058,0.001,0.001,5382.0
accuracy,0.508,0.508,0.508,0.508
macro avg,0.262,0.277,0.217,888820.0
weighted avg,0.391,0.508,0.389,888820.0
