,precision,recall,f1-score,support
2,0.535,0.497,0.515,434895.0
3,0.19,0.13,0.154,57204.0
4,0.27,0.004,0.008,145118.0
5,0.231,0.215,0.223,63358.0
6,0.19,0.369,0.251,145584.0
7,0.037,0.433,0.069,5581.0
accuracy,0.345,0.345,0.345,0.345
macro avg,0.242,0.275,0.203,851740.0
weighted avg,0.382,0.345,0.335,851740.0
