,precision,recall,f1-score,support
0,0.975,0.86,0.914,918761.0
1,0.214,0.636,0.32,55103.0
accuracy,0.847,0.847,0.847,0.847
macro avg,0.595,0.748,0.617,973864.0
weighted avg,0.932,0.847,0.88,973864.0
