,precision,recall,f1-score,support
2,0.557,0.69,0.617,408869.0
3,0.317,0.063,0.105,61223.0
4,0.194,0.216,0.204,155735.0
5,0.223,0.275,0.247,61385.0
6,0.265,0.03,0.053,155172.0
7,0.027,0.325,0.05,5193.0
accuracy,0.405,0.405,0.405,0.405
macro avg,0.264,0.267,0.213,847577.0
weighted avg,0.392,0.405,0.371,847577.0
