,precision,recall,f1-score,support
0,0.975,0.858,0.913,931292.0
1,0.208,0.629,0.312,55159.0
accuracy,0.845,0.845,0.845,0.845
macro avg,0.591,0.744,0.612,986451.0
weighted avg,0.932,0.845,0.879,986451.0
