,precision,recall,f1-score,support
0,0.973,0.886,0.928,930006.0
1,0.233,0.586,0.334,54848.0
accuracy,0.87,0.87,0.87,0.87
macro avg,0.603,0.736,0.631,984854.0
weighted avg,0.932,0.87,0.895,984854.0
