,precision,recall,f1-score,support
2,0.56,0.61,0.584,441927.0
3,0.253,0.089,0.131,55259.0
4,0.175,0.08,0.11,143135.0
5,0.204,0.329,0.252,65034.0
6,0.258,0.248,0.253,178083.0
7,0.048,0.415,0.086,5382.0
accuracy,0.398,0.398,0.398,0.398
macro avg,0.25,0.295,0.236,888820.0
weighted avg,0.389,0.398,0.386,888820.0
