,precision,recall,f1-score,support
0,0.967,0.917,0.941,945239.0
1,0.243,0.461,0.319,54761.0
accuracy,0.892,0.892,0.892,0.892
macro avg,0.605,0.689,0.63,1000000.0
weighted avg,0.927,0.892,0.907,1000000.0
