,precision,recall,f1-score,support
2,0.537,0.918,0.678,408869.0
3,0.238,0.193,0.213,61223.0
4,0.257,0.007,0.013,155735.0
5,0.308,0.477,0.374,61385.0
6,0.0,0.0,0.0,155172.0
7,0.044,0.002,0.003,5193.0
accuracy,0.493,0.493,0.493,0.493
macro avg,0.231,0.266,0.214,847577.0
weighted avg,0.346,0.493,0.372,847577.0
