,precision,recall,f1-score,support
0,0.977,0.865,0.918,984038.0
1,0.207,0.638,0.312,54171.0
accuracy,0.853,0.853,0.853,0.853
macro avg,0.592,0.752,0.615,1038209.0
weighted avg,0.937,0.853,0.886,1038209.0
