,precision,recall,f1-score,support
0,0.977,0.87,0.92,984038.0
1,0.21,0.627,0.315,54171.0
accuracy,0.857,0.857,0.857,0.857
macro avg,0.593,0.748,0.618,1038209.0
weighted avg,0.937,0.857,0.889,1038209.0
