,precision,recall,f1-score,support
0,0.976,0.866,0.917,945239.0
1,0.213,0.628,0.318,54761.0
accuracy,0.853,0.853,0.853,0.853
macro avg,0.594,0.747,0.618,1000000.0
weighted avg,0.934,0.853,0.885,1000000.0
