Actual \ Predicted,2,3,4,5,6,7
2,216143,10534,910,19587,177747,9974
3,23068,7414,203,7272,8339,10908
4,69712,9868,553,10715,37858,16412
5,17780,6127,108,13626,4900,20817
6,76102,4582,262,6936,53788,3914
7,1537,402,11,864,352,2415
