,precision,recall,f1-score,support
0,0.975,0.867,0.918,918761.0
1,0.22,0.624,0.325,55103.0
accuracy,0.853,0.853,0.853,0.853
macro avg,0.597,0.746,0.621,973864.0
weighted avg,0.932,0.853,0.884,973864.0
