,precision,recall,f1-score,support
2,0.66,0.345,0.453,521234.0
3,0.204,0.189,0.196,66477.0
4,0.16,0.519,0.244,153050.0
5,0.231,0.256,0.243,63846.0
6,0.234,0.029,0.051,153193.0
7,0.039,0.357,0.07,4539.0
accuracy,0.306,0.306,0.306,0.306
macro avg,0.255,0.282,0.21,962339.0
weighted avg,0.45,0.306,0.322,962339.0
