,precision,recall,f1-score,support
0,0.976,0.866,0.918,930006.0
1,0.218,0.635,0.325,54848.0
accuracy,0.853,0.853,0.853,0.853
macro avg,0.597,0.75,0.621,984854.0
weighted avg,0.934,0.853,0.884,984854.0
