Actual \ Predicted,2,3,4,5,6,7
2,282312,1408,83250,20850,9319,11730
3,20206,3836,13962,13375,545,9299
4,84925,3452,33686,15224,2502,15946
5,11564,2401,11502,16900,335,18683
6,106336,661,30256,8418,4595,4906
7,1087,342,1107,945,22,1690
