,precision,recall,f1-score,support
civic_service,0.312,0.498,0.384,38625.0
commercial_recreation,0.218,0.181,0.198,31317.0
other,0.0,0.0,0.0,3168.0
residential_place,0.074,0.0,0.0,94625.0
residential_street,0.545,0.915,0.683,246855.0
transport,0.248,0.005,0.01,89628.0
accuracy,0.498,0.498,0.498,0.498
macro avg,0.233,0.266,0.212,504218.0
weighted avg,0.362,0.498,0.378,504218.0
