,precision,recall,f1-score,support
0,0.976,0.856,0.912,561396.0
1,0.208,0.645,0.315,32870.0
accuracy,0.845,0.845,0.845,0.845
macro avg,0.592,0.751,0.614,594266.0
weighted avg,0.934,0.845,0.879,594266.0
