,precision,recall,f1-score,support
0,0.974,0.866,0.917,549187.0
1,0.218,0.622,0.323,33014.0
accuracy,0.852,0.852,0.852,0.852
macro avg,0.596,0.744,0.62,582201.0
weighted avg,0.932,0.852,0.883,582201.0
