,precision,recall,f1-score,support
civic_service,0.24,0.216,0.227,37748.0
commercial_recreation,0.11,0.398,0.172,33198.0
other,0.025,0.333,0.047,2981.0
residential_place,0.255,0.214,0.232,87982.0
residential_street,0.604,0.522,0.56,251380.0
transport,0.239,0.055,0.089,93101.0
accuracy,0.35,0.35,0.35,0.35
macro avg,0.245,0.29,0.221,506390.0
weighted avg,0.413,0.35,0.363,506390.0
