,precision,recall,f1-score,support
0,0.976,0.873,0.922,582699.0
1,0.214,0.623,0.319,32549.0
accuracy,0.859,0.859,0.859,0.859
macro avg,0.595,0.748,0.62,615248.0
weighted avg,0.936,0.859,0.89,615248.0
