,precision,recall,f1-score,support
civic_service,0.307,0.48,0.375,38274.0
commercial_recreation,0.254,0.157,0.194,34843.0
other,0.012,0.001,0.002,3113.0
residential_place,0.505,0.445,0.473,93729.0
residential_street,0.634,0.839,0.722,268933.0
transport,0.283,0.025,0.045,89588.0
accuracy,0.555,0.555,0.555,0.555
macro avg,0.332,0.325,0.302,528480.0
weighted avg,0.499,0.555,0.499,528480.0
