,precision,recall,f1-score,support
0,0.976,0.847,0.907,561396.0
1,0.2,0.652,0.306,32870.0
accuracy,0.836,0.836,0.836,0.836
macro avg,0.588,0.749,0.606,594266.0
weighted avg,0.934,0.836,0.874,594266.0
