,precision,recall,f1-score,support
0,0.977,0.865,0.918,582699.0
1,0.209,0.637,0.314,32549.0
accuracy,0.853,0.853,0.853,0.853
macro avg,0.593,0.751,0.616,615248.0
weighted avg,0.936,0.853,0.886,615248.0
