,precision,recall,f1-score,support
0,0.975,0.861,0.914,560929.0
1,0.209,0.623,0.313,33067.0
accuracy,0.848,0.848,0.848,0.848
macro avg,0.592,0.742,0.614,593996.0
weighted avg,0.932,0.848,0.881,593996.0
