,precision,recall,f1-score,support
0,0.978,0.864,0.917,581743.0
1,0.21,0.647,0.317,32545.0
accuracy,0.852,0.852,0.852,0.852
macro avg,0.594,0.755,0.617,614288.0
weighted avg,0.937,0.852,0.885,614288.0
