,precision,recall,f1-score,support
0,0.975,0.859,0.913,549187.0
1,0.212,0.634,0.318,33014.0
accuracy,0.846,0.846,0.846,0.846
macro avg,0.594,0.746,0.616,582201.0
weighted avg,0.932,0.846,0.879,582201.0
