,precision,recall,f1-score,support
0,0.978,0.693,0.811,567191.0
1,0.121,0.728,0.207,32809.0
accuracy,0.695,0.695,0.695,0.695
macro avg,0.549,0.71,0.509,600000.0
weighted avg,0.931,0.695,0.778,600000.0
