,precision,recall,f1-score,support
0,0.976,0.886,0.929,582699.0
1,0.231,0.614,0.336,32549.0
accuracy,0.871,0.871,0.871,0.871
macro avg,0.604,0.75,0.632,615248.0
weighted avg,0.937,0.871,0.897,615248.0
