,precision,recall,f1-score,support
0,0.978,0.855,0.912,581743.0
1,0.203,0.662,0.311,32545.0
accuracy,0.844,0.844,0.844,0.844
macro avg,0.591,0.759,0.612,614288.0
weighted avg,0.937,0.844,0.88,614288.0
