,precision,recall,f1-score,support
civic_service,0.31,0.021,0.04,37748.0
commercial_recreation,0.275,0.138,0.184,33198.0
other,0.02,0.501,0.038,2981.0
residential_place,0.173,0.096,0.124,87982.0
residential_street,0.543,0.751,0.63,251380.0
transport,0.239,0.041,0.07,93101.0
accuracy,0.411,0.411,0.411,0.411
macro avg,0.26,0.258,0.181,506390.0
weighted avg,0.385,0.411,0.362,506390.0
