,precision,recall,f1-score,support
0,0.976,0.866,0.918,567191.0
1,0.213,0.627,0.318,32809.0
accuracy,0.853,0.853,0.853,0.853
macro avg,0.594,0.746,0.618,600000.0
weighted avg,0.934,0.853,0.885,600000.0
